question,answer
What Is Nlp?,Natural Language Processing or NLP is an automated way to understand or analyze the natural languages and extract required information from such data by applying machine learning Algorithms. 
List Some Components Of Nlp?,"Below are the few major components of NLP. a. Entity extraction: It involves segmenting a sentence to identify and extract entities, such as a person (real or fictional), organization, geographies, events, etc. b. Syntactic analysis: It refers to the proper ordering of words. c. Pragmatic analysis: It is a part of the process of extracting information from text. "
List Some Areas Of Nlp?,Natural Language Processing can be used for 1. Semantic Analysis 2. Automatic summarization 3. Text classification 4. Question Answering 
Define The Nlp Terminology?,"NLP Terminology is based on the following factors: a. Weights and Vectors: TF-IDF, length(TF-IDF, doc), Word Vectors, Google Word Vectors b. Text Structure: Part-Of-Speech Tagging, Head of sentence, Named entities c. Sentiment Analysis: Sentiment Dictionary, Sentiment Entities, Sentiment Features d. Text Classification: It is a Supervised Learning, Train Set, Dev(=Validation) Set, Test Set, Text Features, LDA. e. Machine Reading: Entity Extraction, Entity Linking,dbpedia, FRED (lib) / Pikes. "
What Is The Significance Of Tf-idf?,Tf–idf or TF IDF stands for term frequency–inverse document frequency. Information retrieval TF IDF is a numerical statistic that is intended to reflect how important a word is to a document in a collection or in the collection of a set.  
What Is Part Of Speech (pos) Tagging?,"According to The Stanford Natural Language Processing Group : Part Of Speech Tagger is a piece of software that reads text in some language and assigns parts of speech to each word (and other token), such as noun, verb, adjective, etc. PoS taggers use an algorithm to label terms in text bodies. These taggers make more complex categories than those defined as basic PoS, with tags such as “noun-plural” or even more complex labels. PoS is taught to school-age children in English grammar, where children perform basic PoS tagging as part of their education. "
What Is Pragmatic Analysis In Nlp?,"Pragmatic Analysis: It deals with outside word knowledge, which means knowledge that is external to the documents and/or queries. It focuses on what was described as interpreted by what it actually meant, deriving the various aspects of language that require real-world knowledge. "
Explain Dependency Parsing In Nlp?,Dependency Parsing is also known as Syntactic Parsing. Parsing In Nlp is the task of recognizing a sentence and assigning a syntactic structure to it. It is used syntactic structure is the parse tree which can be generated using some parsing algorithms. They are useful in various applications like grammar checking or more importantly it plays a critical role in the semantic analysis stage. 
What Is Pac Learning?, PAC (Probably Approximately Correct) learning is a learning framework that has been introduced to analyze learning algorithms and their statistical efficiency. 
What Are The Different Categories in The Sequence of Learning Process? ,They are as follows. 1. Sequence prediction 2. Sequence generation 3. Sequence recognition 4. Sequential decision  
What Is Sequence Learning?,Sequence learning is a method of teaching and learning in a logical manner. 
What are The General Principle Of An Ensemble Method?,The general principle of an ensemble method is to combine the predictions of several models built with a given learning algorithm in order to improve robustness over a single model. 
What Is Bagging And Boosting In Ensemble Method?," Bagging is a method in ensemble for improving unstable estimation or classification schemes. Although, boosting method are used sequentially to reduce the bias of the combined model. Both the methods can reduce errors by reducing the variance term. "
What Is The Difference Between Heuristic For Rule Learning And Heuristics For Decision Trees?,The difference is that the heuristics for decision trees evaluate the average quality of a number of disjointed sets while rule learners only evaluate the quality of the set of examples that is covered with the candidate rule. 
What is applications of NLP ?," Text classification, Text summarization, Name entity reorganization, part of speech tagging, language model building, Machine translation, Spell checking, speech reorganization, character reorganization. "
What is tokenization ?,Splitting the sentence into words is called tokenizaation. 
What are stop words ?,"a, the , an etc like repeated words in text, that doesn’t give any additional value to context. we can filter those words by using nltk library standard function. "
What is Noise Removal ?,"Remove unwanted data from corpus. Like if you are working sentiment analysis, we have to remove ?”! etc. "
What is Wordnet ?,"WordNet is a lexical database for the English language. It provides short definitions and usage examples, also groups English words into sets of synonyms called synsets, , and records a number of relations among these synonym sets or their members. "
What is NLG (Natural language Generation) ?,It’s about generating new text from understanding old data.  
What is NLU (Natural language understanding) ?,It’s about understanding of natural language. How humans are communicating in different scenarios. 
What is Corpus ?,It’s a collection of text documents. 
"What is N- Gram, Unigram, Bigram and Trigram?","It’s about word analysis, unigram means single word, bigram means double words and trigram means tripple word. "
What is Language modeling ?,"A statistical language model is a probability distribution over sequences of words. For instance if a given a sequence say of length m, it assigns a probability to the whole sequence. This model provides context to distinguish between words and phrases that sound similar. "
What is Latent semantic analysis ?,"Latent semantic analysis is a technique in natural language processing, in particular distributional semantics, of analyzing relationships between a set of documents and the terms.  "
What are word embedding libraries ?,Word embedding libraries are as follows; 1. Word2vec 2. Glove 3. Fasttext 4. Genism 
What is word2vec ?,"Word2vec is a group of related models that are used to produce word embeddings. They are shallow, two-layer neural network models that are trained to reconstruct linguistic contexts of words. "
What is Glove ?,"GloVe, coined from Global Vectors, is a model for distributed word representation. They are unsupervised learning algorithm model for obtaining vector representations for words. Hence, this is achieved by mapping words into a meaningful space where the distance between words is related to semantic similarity. "
What is Fasttext ?, fastText is a library for learning of word embeddings and text classification created by Facebook’s AI Research lab. This allows to create an unsupervised learning or supervised learning algorithm model for obtaining vector representations for words 
What is Genism ?,"It is a production-ready open-source library for unsupervised topic modeling and natural language processing, using modern statistical machine learning. Gensim is implemented in Python and Cython for top performance and scalability.   "
What is text mining ?," Text mining, also referred to as text data mining, roughly equivalent to text analytics is the process of deriving high-quality information from text. Whereas the high-quality information is typically derived through the devising of patterns and trends through means such as statistical pattern learning. "
What is Information Extraction ?, Information extraction is the task of automatically extracting structured information from unstructured and/or semi-structured machine-readable documents. In most of the cases this activity concerns processing human language texts by means of natural language processing. 
What is object standardization ? When it will be used ?, Text data often contains words or phrases which are not present in any standard lexical dictionaries. These pieces are not recognized by search engines and models. –
What is Topic Modeling ? When we will do it ?,"Topic modelingis a type of statisticalmodelingfor discovering the abstract “topics” that occur in a collection of documents. An example fortopic modelis Latent Dirichlet Allocation (LDA), is used to classify text in a document to a particular topic. "
What is document-term matrix ?, It is a mathematical matrix that describes the frequency of terms that occur in a collection of documents. Is also called as term-document matrix.  
